antecedent,consequent,support_A,support_itemset,confidence
{'Honeycrisp Apple'},{'Banana'},0.02521644026044382,0.008984698414645364,0.3563032022699635
{'Banana'},{'Honeycrisp Apple'},0.14871260208723028,0.008984698414645364,0.060416523472403595
{'Carrots'},{'Banana'},0.02326413377899073,0.005110749951447876,0.21968365553602814
{'Banana'},{'Carrots'},0.14871260208723028,0.005110749951447876,0.034366623135610695
{'Bunch'},{'Organic Red Radish'},0.014279435364345365,0.008739382416975867,0.6120257695060844
{'Organic Red Radish'},{'Bunch'},0.008739382416975867,0.008739382416975867,1.0
{'Organic Baby Spinach'},{'Organic Garlic'},0.0753222327844388,0.006521316938047489,0.08657891165694123
{'Organic Garlic'},{'Organic Baby Spinach'},0.03362873468052702,0.006521316938047489,0.1939209726443769
{'Organic Baby Spinach'},{'Banana'},0.0753222327844388,0.016252184845604242,0.21576876102591935
{'Banana'},{'Organic Baby Spinach'},0.14871260208723028,0.016252184845604242,0.109285861571242
{'Organic Baby Spinach'},{'Organic Yellow Onion'},0.0753222327844388,0.005785368945038995,0.07680825078029582
{'Organic Yellow Onion'},{'Organic Baby Spinach'},0.03434423967372972,0.005785368945038995,0.16845238095238094
{'Organic Baby Spinach'},{'Limes'},0.0753222327844388,0.006255557940572199,0.08305061745148594
{'Limes'},{'Organic Baby Spinach'},0.04318583708973455,0.006255557940572199,0.14485207100591715
{'Organic Baby Spinach'},{'Organic Cucumber'},0.0753222327844388,0.0051516359510594585,0.06839462613651784
{'Organic Cucumber'},{'Organic Baby Spinach'},0.025339098259278568,0.0051516359510594585,0.20330778539733763
{'Organic Baby Spinach'},{'Bag of Organic Bananas'},0.0753222327844388,0.016068197847352122,0.21332609580675804
{'Bag of Organic Bananas'},{'Organic Baby Spinach'},0.11953021986446291,0.016068197847352122,0.1344279117496152
{'Organic Baby Spinach'},{'Large Lemon'},0.0753222327844388,0.007287929430764671,0.09675668340344687
{'Large Lemon'},{'Organic Baby Spinach'},0.04791839154477528,0.007287929430764671,0.15209044368600683
{'Organic Baby Spinach'},{'Organic Strawberries'},0.0753222327844388,0.011887604387067758,0.15782331388248064
{'Organic Strawberries'},{'Organic Baby Spinach'},0.08259994071530057,0.011887604387067758,0.14391783195149113
{'Organic Baby Spinach'},{'Organic Raspberries'},0.0753222327844388,0.005540052947369497,0.07355136382141403
{'Organic Raspberries'},{'Organic Baby Spinach'},0.04256232559565791,0.005540052947369497,0.13016330451488953
{'Organic Baby Spinach'},{'Organic Hass Avocado'},0.0753222327844388,0.010436151400856561,0.1385533993757633
{'Organic Hass Avocado'},{'Organic Baby Spinach'},0.06553003587746466,0.010436151400856561,0.15925752612696928
{'Organic Baby Spinach'},{'Organic Avocado'},0.0753222327844388,0.009230014412314863,0.12254037182792779
{'Organic Avocado'},{'Organic Baby Spinach'},0.05430682898408513,0.009230014412314863,0.16996047430830039
{'Organic Baby Spinach'},{'Organic Zucchini'},0.0753222327844388,0.0066337534369793425,0.0880716515130954
